dataset,subset,model,prop,blackbox_f1,surrogate_f1,fidelity,robustness
cicids_improved,wednesday,OCSVM,0.03,0.9840464416254568,0.9797211479457137,0.985671299613125,0.9995382974319785
cicids_improved,wednesday,IForest,0.03,0.9907564610450857,0.9890366357886851,0.9920396108961806,0.9994109312063174
cicids_improved,wednesday,AE,0.05,0.995333916593759,0.9936575052854123,0.9923898680167487,0.9997930298833007
cicids_improved,wednesday,VAE,0.05,0.9967248431563779,0.9860511935576647,0.9864832593017147,0.9996815844358472
cicids_improved,wednesday,OCSVM,0.05,0.9874007594062824,0.9835952834649053,0.9857509035041633,0.9995223766537709
cicids_improved,wednesday,IForest,0.05,0.216233025811133,0.9925569810883604,0.5148938880132461,0.9999840792217923
cicids_improved,wednesday,AE,0.1,0.9953040722271492,0.9891672797034345,0.9912117304293834,0.9996656636576395
cicids_improved,wednesday,VAE,0.1,0.9957745658002098,0.991565081749379,0.9903838499625862,0.9997134259922625
cicids_improved,wednesday,OCSVM,0.1,0.9899919243193355,0.9905350031742367,0.9932177484835458,0.9999044753307542
cicids_improved,wednesday,IForest,0.1,0.9899576704130785,0.9911732360942294,0.990479374631832,0.998630813074143
cicids_improved,thursday,AE,0,0.9740861506778787,0.9572661049380644,0.9829855780121316,0.9996727995771564
cicids_improved,thursday,VAE,0,0.9733310451347177,0.9526684780785616,0.9814250836878005,0.9986911983086255
cicids_improved,thursday,OCSVM,0,0.9645912949372654,0.9419704889829947,0.972943041957162,0.9986408597820342
cicids_improved,thursday,IForest,0,0.9632039032323643,0.956189454630778,0.9914676197427701,0.9982633208325993
cicids_improved,thursday,AE,0.01,0.9761275031772747,0.9659052396122824,0.9898567868918476,0.9993959376809041
cicids_improved,thursday,VAE,0.01,0.9763399323998068,0.961181120983817,0.9824570234829226,0.9979612896730513
cicids_improved,thursday,OCSVM,0.01,0.862137524852759,0.9629654636913,0.9148272130074753,0.9989932294681735
cicids_improved,thursday,IForest,0.01,0.12942266131522073,0.960248993538347,0.6635876267901638,0.9998489844202261
cicids_improved,thursday,AE,0.03,0.982162031103876,0.971356475482507,0.9876418917218293,0.9999496614734087
cicids_improved,thursday,VAE,0.03,0.9698605795516676,0.9653145610497897,0.9873398605622813,0.9991442450479474
cicids_improved,thursday,OCSVM,0.03,0.8287735849056604,0.9776006596124777,0.8960509425889104,0.9987163675719212
cicids_improved,thursday,IForest,0.03,0.005217630097487299,0.9383068254760717,0.6606679922478669,0.9978857818831642
cicids_improved,thursday,AE,0.05,0.9735402401679112,0.9673198159822797,0.985502504341698,0.9988170446251038
cicids_improved,thursday,VAE,0.05,0.9714718331670051,0.9393854356671812,0.9675064810852987,0.9983639978857819
cicids_improved,thursday,OCSVM,0.05,0.7896669830396567,0.8565721748482753,0.9511464599431174,0.9996476303138607
cicids_improved,thursday,IForest,0.05,0.0012556679455877223,0.6422361409741049,0.8223301703959125,0.9998741536835217
cicids_improved,thursday,AE,0.1,0.9748364542591119,0.9739769294149958,0.9886990007802472,0.9988673831516951
cicids_improved,thursday,VAE,0.1,0.9704409848432892,0.9633787576505597,0.9881452769877426,0.9998741536835217
cicids_improved,thursday,OCSVM,0.1,0.812882317196678,0.7510120594877914,0.9600312098864866,0.9941859001787018
cicids_improved,thursday,IForest,0.1,0.004429372274897917,0.8784551597051597,0.7070549445017744,0.9982633208325993
cicids_improved,friday,AE,0,0.9918667661913395,0.989239202946892,0.9914169727430892,0.9999226754301179
cicids_improved,friday,VAE,0,0.9888554886476769,0.9801701344982182,0.9879502545267091,0.996816805206521
cicids_improved,friday,OCSVM,0,0.9894687980504221,0.98787293617843,0.9875894065339261,0.9993814034409434
cicids_improved,friday,IForest,0,0.9869944151351768,0.9860455255093191,0.9959275726528771,0.9997035891487853
cicids_improved,friday,AE,0.01,0.9946001692919898,0.9907046999360948,0.9932083252786906,0.9995102777240802
cicids_improved,friday,VAE,0.01,0.9903882452013822,0.9855516384442005,0.992950576712417,0.9995618274373349
cicids_improved,friday,OCSVM,0.01,0.9898899993227751,0.9882564618480111,0.9898060442038791,0.9991107674463561
cicids_improved,friday,IForest,0.01,0.540010368647452,0.9878352545907432,0.5845995231651524,0.9995360525807075
cicids_improved,friday,AE,0.03,0.9947016905981743,0.991194164317475,0.9936078355564147,0.999677814292158
cicids_improved,friday,VAE,0.03,0.9910213569664391,0.8246530296435998,0.728835620851859,0.9994458405825117
cicids_improved,friday,OCSVM,0.03,0.9924440090400303,0.9929159561510353,0.9910303498936787,0.9999226754301179
cicids_improved,friday,IForest,0.03,0.5269975925713631,0.9927714116608288,0.5709646240092789,0.9995360525807075
cicids_improved,friday,AE,0.05,0.9937131363384606,0.9375816726559948,0.928796958566918,0.99516721438237
cicids_improved,friday,VAE,0.05,0.9930315617842308,0.9881875302078298,0.9922933178684193,0.9995231651523938
cicids_improved,friday,OCSVM,0.05,0.9907226278786001,0.9927811180510965,0.9905148527611315,0.9997164765770991
cicids_improved,friday,IForest,0.05,0.06044070558366017,0.99536946582783,0.36097686706617693,0.99975513886204
cicids_improved,friday,AE,0.1,0.9945855569488593,0.9909157821337259,0.994445518396804,0.99975513886204
cicids_improved,friday,VAE,0.1,0.9941948093622069,0.9903499007888497,0.9931438881371223,0.9998840131451768
cicids_improved,friday,OCSVM,0.1,0.9938848326349663,0.9956038171733811,0.9942264321154713,0.999639152007217
cicids_improved,friday,IForest,0.1,0.5356586822070817,0.8243155261624918,0.7732070365358593,0.9989432308782782
