dataset,subset,model,prop,blackbox_tnr,blackbox_fpr,blackbox_fnr,blackbox_tpr,blackbox_prec,blackbox_rec,blackbox_f1,fidelity,robustness,surrogate_tnr,surrogate_fpr,surrogate_fnr,surrogate_tpr,surrogate_prec,surrogate_rec,surrogate_f1
cicids_improved,tuesday,OCSVM,0.03,0.9559460147695442,0.04405398523045582,0.0007163323782234957,0.9992836676217765,0.5353031465848043,0.9992836676217765,0.697151424287856,0.9387917604292886,0.9981997576596849,0.9556186110807959,0.04438138891920405,0.4871060171919771,0.5128939828080229,0.36983471074380164,0.5128939828080229,0.42977190876350535
cicids_improved,tuesday,IForest,0.03,0.9479791916766707,0.05202080832332933,0.0,1.0,0.49398443029016276,1.0,0.6612979630506869,0.9736195257053835,0.9975073567595638,0.9222961912037543,0.07770380879624578,0.0,1.0,0.3952434881087203,1.0,0.5665584415584416
cicids_improved,tuesday,AE,0.05,0.9633671650478374,0.036632834952162685,0.0071633237822349575,0.9928366762177651,0.579189302131216,0.9928366762177651,0.7315914489311164,0.9666608966591657,0.9966072355894062,0.932118301866201,0.06788169813379898,0.0,1.0,0.42795830778663396,1.0,0.5993988836410477
cicids_improved,tuesday,VAE,0.05,0.9606751791625742,0.03932482083742588,0.01862464183381089,0.9813753581661891,0.5589555283557731,0.9813753581661891,0.712243306472576,0.9847671801973342,0.9992729790548728,0.9503437738731857,0.04965622612681436,0.0,1.0,0.5056139080043462,1.0,0.671638200625451
cicids_improved,tuesday,OCSVM,0.05,0.9559460147695442,0.04405398523045582,0.0007163323782234957,0.9992836676217765,0.5353031465848043,0.9992836676217765,0.697151424287856,0.9445040678552882,0.9989960186948244,0.9612936083524318,0.03870639164756812,0.4878223495702006,0.5121776504297995,0.40191118605958404,0.5121776504297995,0.45039370078740154
cicids_improved,tuesday,IForest,0.05,0.9479791916766707,0.05202080832332933,0.0,1.0,0.49398443029016276,1.0,0.6612979630506869,0.9747273671455773,0.9975765968495759,0.9235330495834697,0.07646695041653025,0.0,1.0,0.39908519153802174,1.0,0.5704944830404577
cicids_improved,tuesday,AE,0.1,0.969078540507112,0.030921459492888066,0.025787965616045846,0.9742120343839542,0.6153846153846154,0.9742120343839542,0.7542983915696063,0.9769776700709711,0.9921758698286308,0.9488522681799992,0.05114773182000073,0.027936962750716332,0.9720630372492837,0.4911328266377126,0.9720630372492837,0.6525607117095454
cicids_improved,tuesday,VAE,0.1,0.9495434537451344,0.050456546254865585,0.022206303724928367,0.9777936962750716,0.4960029069767442,0.9777936962750716,0.6581485053037609,0.9615717500432751,0.9991344988748485,0.9339008330604969,0.06609916693950307,0.4505730659025788,0.5494269340974212,0.2968266253869969,0.5494269340974212,0.38542713567839193
cicids_improved,tuesday,OCSVM,0.1,0.9559460147695442,0.04405398523045582,0.0007163323782234957,0.9992836676217765,0.5353031465848043,0.9992836676217765,0.697151424287856,0.9475852518608274,0.9996537995499394,0.9690057841318346,0.030994215868165448,0.4871060171919771,0.5128939828080229,0.45663265306122447,0.5128939828080229,0.48313090418353577
cicids_improved,tuesday,IForest,0.1,0.9097093382807668,0.09029066171923315,0.0,1.0,0.3599793708096957,1.0,0.5293894577171028,0.9629565518435174,0.9974034966245456,0.9010513296227582,0.09894867037724181,0.0,1.0,0.3391642371234208,1.0,0.5065312046444123
cicids_improved,wednesday,AE,0,0.9950149201334035,0.004985079866596454,0.0038454815591679775,0.996154518440832,0.9958643988816402,0.996154518440832,0.9960094375345897,0.992198818678257,0.998805941634427,0.9807969106547305,0.01920308934526944,0.0019518732156382917,0.9980481267843617,0.98428431879561,0.9980481267843617,0.9911184400856333
